publicacao_id,name,id
"[609, 666, 676, 688, 939, 1132, 715, 420]",Saúde do trabalhador,103
39,Prevalência,104
[39],Parto,105
[39],Cesário,106
40,Riscos ocupacionais,107
[41],Enfermagem-Brasil,108
[41],Identidade profissional,109
"[1696, 1992, 1733, 1483, 1379, 1197, 1281, 1392, 1724, 1040, 688, 685, 1128, 507, 729, 1131, 1061, 730, 780, 1071, 723, 724, 1079, 1063]",Capitalismo,110
[42],Drogas ilícitas,111
"[1903, 1269, 1560, 641, 823, 828, 652, 1089, 1136, 897, 896, 1096, 1104, 826, 395, 1112, 799, 791]",Saúde pública,112
"[1942, 1316, 1049, 43, 1152]",Envelhecimento,113
"[1699, 2035, 1904, 1696, 1992, 1046, 1281, 1178, 1352, 507, 748, 786, 1133, 1129, 801, 916, 1063, 723, 715, 1113]",Trabalho,114
[44],Precarização,115
[46],Redução de danos,116
"[1631, 513, 1145]",Drogas,117
[45],Agentes Comunitários de Saúde,118
46,Profissionais da saúde,119
"[1991, 1178, 677, 1192, 47]",Mulheres,120
[47],Perfil epidemiológico,121
[47],Abortamento,122
47,Maternidade,123
48,Ansiedade,124
[291],Alcoolismo,125
"[2009, 2041, 1602, 1249, 840, 440, 591]",Agricultura familiar,126
79,Estrela de Alagoas - AL,127
[49],Agricultores,128
[49],Comunidade rural,129
[50],Sexualidade masculina ,130
[50],Contracepção masculina,131
"[1809, 1730, 1275, 762, 675, 1060, 740, 797, 1148, 1129, 51, 1074]",Família ,132
[51],Influência cultural,133
[51],Mães adolescentes,134
"[1953, 795, 1082, 797, 121, 638, 113, 911]",Adolescentes ,135
[55],Bebidas alcoólicas,136
[53],Desnutrição infantil,137
[53],Ações do enfermeiro,138
[55],Trauma,139
[55],Acidente de trânsito,140
[54],Cronotipo,141
[54],Unidade hospitalar,142
[72],Unidade de Emergência Dr. Daniel Houly,143
[56],Diagnóstico de enfermagem,144
"[1520, 1535, 679, 680, 78]",Aleitamento materno,145
[56],Infecções respiratórias,146
[57],Doação,147
[58],Câncer de mama,148
[58],Mastectomia,149
[58],Mamoplastia,150
[59],Traumatismo craniocerebral,151
[78],Hospitalização,152
59,Reabilitação,153
"[1848, 2047, 1647, 1871, 1812, 1979, 1815, 1823, 2068, 1897, 1737, 1742, 1968, 1761, 1722, 1524, 1404, 1480, 1424, 873, 848, 1164, 1176, 467]",Arapiraca,154
[59],CEMFRA,155
517,Estresse,156
61,Diabetes Mellitus,157
"[678, 964, 98]",Produção científica,158
[62],Síndrome pré-menstrual,159
[80],Estudantes de enfermagem,160
"[1182, 354, 1115]",Universidade Federal de Alagoas,161
[63],Internação,162
[63],Unidade de terapia intensiva neonatal - UTIN,163
[63],Sentimentos-Pais,164
[65],Revisão integrativa,165
65,Sociedade,166
[65],Imagem social,167
[66],Esquistossomose mansoni,168
[77],Fatores de risco,169
[66],Barriga d'água,170
"[2049, 67, 1068]",Programa Saúde da Família,171
[],Penedo - AL,172
"[1580, 1594, 1585, 77]",Penedo/AL,173
[68],Puérperas,174
[69],Assistência em enfermagem,175
[69],União dos Palmares - AL,176
[70],Morbidade,177
285,Unidade Básica de Saúde/UBS,178
[459],Palmeira dos Índios/AL,179
[71],Pré-natal,180
[72],Indicadores de qualidade,181
[457],Infecção hospitalar,182
[73],Acidentes ocupacionais,183
[73],Material perfurocortante,184
[73],Profissionais de Enfermagem,185
[75],Câncer de próstata,190
[75],Perfil do paciente,191
[76],Saúde,192
[76],Humanização em saúde,193
[76],Idosos institucionalizados,194
[76],Saúde e cuidado,195
[77],Desmame,196
[77],Desmame precoce,197
[78],Diarréia,198
482,Girau do Ponciano/AL,199
[107],Uso de álcool,200
[79],Uso de drogas,201
[128],Fatores socioeconômicos,202
[80],Bacharelado em enfermagem,203
[81],Partogra,204
82,Educação física escolar,205
82,produção do conhecimento,206
"[1851, 1964, 1567, 1673, 1050, 1182, 1179, 1048, 1021, 1366, 787, 990, 988, 1146, 1106, 1059, 88, 894, 476, 1063, 1151]",Educação,207
"[1927, 824, 83]",Ginástica,208
"[1916, 1302, 1303, 1257, 824, 1023, 396]",Escola,209
83,Formação humana,210
"[1857, 1927, 1726, 2036, 1333, 1350, 1616, 1015, 695, 768, 824, 964, 988, 1023, 88, 125, 118]",Educação física,211
"[1209, 1418, 84, 909]",Relações de gênero,212
[84],Metodologia crítico-superadora,213
[85],Déficit de atenção,214
85,Hiperatividade,215
[85],Impulsividade,216
"[1895, 1953, 106, 86, 100, 583]",Índice de massa corporal,217
"[2071, 1953, 1785, 1681, 766, 765, 1014, 86, 100, 93, 94, 136]",Nível de atividade física,218
"[1899, 1821, 1785, 2065, 2075, 1681, 1014, 703, 704, 766, 86, 119, 113, 108]",Escolares,219
"[1899, 2065, 1014, 766, 703, 94, 121]",Estado nutricional,220
87,Análise descritiva,221
88,Dança ,222
89,Nível de estresse,223
"[1821, 1681, 222, 90, 93]",Exercício físico,224
[89],Policial civil,225
"[1400, 1561, 90, 93, 394]",Professores,226
"[1821, 1895, 1002, 90, 344, 981, 638]",Atividade física,227
"[2075, 1644, 91, 108]",Flexibilidade,228
132,Universitários,229
"[1921, 1467, 92]",Educação do campo,230
[92],Escola do campo,231
[95],Alunos trabalhadores,232
"[653, 124, 123]",Aptidão física,233
1176,Morfologia,234
"[1851, 1258, 101]",Alunos,236
198,Esporte,237
98,Epistemologia,238
[99],Síndrome de Down,239
100,Imagem corporal,240
105,IMC,241
134,Perímetro de cintura,242
"[1700, 1612, 1333, 1248, 1213, 633, 757, 118, 400]",Formação de professores ,243
[102],Educação física e esporte,244
[103],Acadêmicas,245
"[1171, 667, 286]",Composição corporal,246
[104],Classificação econômica,247
"[1895, 765, 1262, 387, 981]",Obesidade,248
[105],SDC,249
"[2065, 116, 638, 108]",Antropometria,250
[109],Práticas alimentares,251
[110],Obesidade em crianças e adolescentes,252
[119],Estatura,253
[111],Saúde,254
[112],Funcionários,255
[112],Secretaria de Educação - Arapiraca,256
[112],Saúde,257
[113],Estilo de vida,258
[114],Atleta,259
"[114, 1077, 794, 1102]",Pessoa com deficiência,260
"[1262, 119, 583]",Coordenação motora,261
123,Nível socioeconômico,262
"[1413, 1163, 117]",Desempenho,263
[120],Ginástica geral,264
[120],Prática social Gasparin,265
[120],Formação omnilateral,266
[121],Gordura corporal,267
[122],Ensino regular,268
[122],Ensino em tempo integral,269
[124],Meninos,270
[124],Turnos escolares,271
"[1808, 1282, 1488, 674, 125]",Surdez,272
"[1692, 1092, 125]",Inclusão escolar,273
[400],Educação especial,274
[126],Pré-puberal,275
[127],Professores de educação física,276
[130],Nível de conhecimento,277
[128],Estudante de educação física,278
[129],Obesidade infantil,279
[131],Jovens,280
[131],Questionário Internacional para Atividades Físicas - IPAQ,281
[133],Atividade física habitual,282
"[1011, 1463, 387]",Conhecimento popular,283
[387],Raizeiros,284
133,Morfologia corporal,285
"[2027, 1700, 2060, 969, 618, 469, 599]",Ensino médio,286
[134],Massa corporal,287
286,Percentual de gordura,288
[135],Avaliação-Professores,289
[135],Avaliação da progressão continuada,290
[136],indicadores sociodemográficos,291
[137],Governança coorporativa,292
541,Empresa familiar,293
[137],Transparência-Gestão,294
"[1480, 841, 179]",Planejamento,295
"[2032, 1750, 1754, 1846, 1856, 1968, 1643, 1893, 661, 850, 568, 446]",Sustentabilidade,296
"[2029, 2044, 1337, 546, 539, 166]",Viabilidade,297
[138],Indústria de móveis,298
139,Academia,299
"[1170, 1501, 546, 537, 575, 1790]",Plano de negócio,300
"[539, 540, 566, 140, 139]",Negócio,301
"[1843, 1237, 1325, 1327, 946, 525]",Serviços,302
320,materiais de construção,303
"[1327, 557, 141]",Empreendimento,304
[141],Viabilidade mercadológica,305
[142],Empreendimento sustentável,306
142,Reciclagem,307
142,Resíduos,308
[142],Lixo eletrônico,309
[149],Marketing de relacionamento,310
"[2035, 1228, 1758, 566, 148]",Administração,311
533,Clientes,312
143,Economia,313
[144],Qualidade hospitalar,314
[144],Satisfação do usuário,315
[144],Atendimento hospitalar,316
[182],Hotel,317
317,Qualidade em serviços,318
[145],Educação profissional,319
[146],Cadeia de suprimentos,320
[183],Logística,321
[146],Almoxarifado,322
464,Coleta seletiva,323
[147],Lixo - Coleta,324
[148],Clima organizacional,325
[147],Lixo - Separação,326
"[1257, 526, 562]",Satisfação,327
"[1568, 674, 993, 171]",Comunicação,328
[193],Fidelização,329
[150],Curso pré-vestibular,330
[150],Viabilidade técnica,331
[150],Viabilidade financeira,332
[151],Tecnocracia,333
[151],Burocracia,334
[151],Gestão do ensino superior,335
151,Administração pública,336
[152],Poder,337
[152],Campeonato Brasileiro de Futebol ,338
[],Campo,339
[152],Campo de futebol,340
[153],Suco de laranja,341
[153],Lançamento de produto,342
149,Marketing ,343
[154],Composto de marketing,344
"[1501, 1341, 154]",Consumidor,345
[155],Companhia de Saneamento de Alagoas - CASAL,346
[],Planejamento estrstégico,347
"[1342, 552, 155]",Planejamento estratégico,348
155,Saneamento,349
314,Gestão estratégica,350
[155],Sociedade de economia mista,351
"[1170, 1758, 1348, 1971, 544, 559, 551, 550, 537]",Empreendedorismo,352
[156],Mercado da moda,353
[],moda,354
156,Moda,355
[156],Costura personalizada,356
[157],Centro de fabricação,357
[157],Gelados comestíveis,358
[188],Plano de negócio,359
[158],Gerenciamento de produtos,360
[158],Controle de estoque,361
[158],Posto de combustível,362
[159],Programa de qualidade,363
[159],Gestores educacionais,364
"[801, 715, 159]",Saúde no trabalho,365
[160],Gestão educacional,366
[421],Custos,367
"[1680, 536, 2012]",Organização,368
[161],Arranjo produtivo local,369
161,Gestão organizacional,370
[161],Desenvolvimento social,371
[162],Cultura organizacional,372
366,Tecnologia da informação,373
[],mudança organnizacional,374
[162],Mudança organizacional,375
"[1933, 554, 174]",Supermercado,376
[],Interenção,377
200,Intervenção,378
[163],Nível de insatisfação,379
[163],Nível de satisfação,380
[164],Administração de recursos humanos,381
[164],Indústria sucroalcooleira,382
"[164, 903, 1064]",Recursos humanos,383
"[542, 549, 552, 165]",Micro e pequena empresa,384
[165],Desenvolvimento local,385
"[2041, 1207, 1483, 1210, 817, 840, 842, 513, 795, 1194, 906, 893, 913, 728, 725]",Políticas públicas,386
166,Estudo,387
238,Informática,388
[166],Curso preparatório,389
[166],Concurso,390
[167],Análise econômico-financeira,391
[167],Co-geração de energia,392
[167],Comercialização,393
[167],Indústria Canavieira,394
[195],Créditos de carbono,395
[168],Instrução Financeira,396
[168],Educação financeira infantil,397
168,Comportamento financeiro,398
[169],Marketing social,399
[169],Miix social,400
[169],Impactos sociais,401
[170],Contabilidade gerencial,402
[526],Tomada de decisão,403
[170],Relatórios contábeis,404
[171],Promoção,405
[172],Reestruturação administrativa,406
[172],Mudanças organizacionais,407
[172],Diagnóstico organizacional,408
[173],Telefonia móvel,409
[173],Atendimento personalizado,410
[173],Diferencial competitivo,411
174,Ergonomia,412
[174],Repositores,413
[407],Condições de trabalho,414
[175],Pesquisa de marketing,415
[175],Estratégias de marketing,416
[],Administração de empresas,417
[176],Venda e aluguel,418
[],Jogos de videogame,419
177,Mercado da música,420
[177],Forró eletrônico,421
[177],Negócio-viabilidade,422
[178],Poder público,423
"[2058, 1322, 1330, 1332, 1356, 1462, 1351, 1303, 611, 850, 582, 567, 459]",Meio ambiente,424
"[1861, 1319, 322]",Plano diretor,425
[179],Educação financeira,426
[179],Controle financeiro pessoal,427
[179],Controle financeiro empresarial,428
[196],Logística empresarial,429
[180],Armazenagem,430
[180],Distribuição física,431
"[1770, 1326, 1576, 1753, 663, 713, 326]",Desenvolvimento sustentável,432
[181],Recursos renováveis,433
183,Gestão de estoques,434
[183],Demanda,435
[183],Sistema integrado,436
[183],Logística reversa,437
[184],Mercado musical,438
[184],Estúdio,439
[185],Mercado culinário,440
[193],Restaurante,441
186,Economia solidária,442
[],Empreendimentos solidários,443
[186],Empreendimentos economicamente solidários,444
[187],Análise estratégica,445
[187],"Sorvetes, gelados, etc",446
[188],Corretores de seguros,447
[188],Seguros,448
[189],Veículos,449
[189],Lava Jato,450
[189],Veículos - Serviços,451
[190],Clubes de futebol,452
[190],Esportes - Administração,453
[190],Futebol amador,454
[191],Segmentação de mercado,455
[317],Prestação de serviços,456
[191],Qualidade - Ferramentas básicas,457
[191],Restaurantes,458
[192],Clube de futebol,459
[192],Sócio-torcedores,460
[193],CRM,461
[194],Artigos esportivos,462
[194],Análise mercadológica,463
[195],Indicadores de desempenho financeiro,464
"[702, 288, 589]",Viabilidade econômica,465
[196],Distribuição,466
[196],Localização estratégica,467
[198],Escolinha de futebol,468
199,Comportamento do consumidor,469
[199],Fatores sociais,470
200,Qualidade no atendimento,471
[200],Selaria Rodrigues,472
201,Salão de beleza,473
201,Campo Alegre/AL,474
[201],Propaganda,475
[202],empreendimento popular,476
"[1863, 1307, 203]",Programa Institucional de Bolsa de Iniciação à Docencia - PIBID,477
[331],Experimentos,478
"[2078, 1964, 1773, 1259, 625, 637, 599, 203]",Ensino de física,479
[204],Propagação de fônons,480
[204],Cadeia Linear,481
[204],Sistemas desordenados,482
238,Softwares educacionais,483
[205],tecnologias educacionais,484
[206],Índice morfológico,485
[206],Limite de carga,486
[206],Tração animal,487
[207],Trânsito,488
[207],Código de trânsito brasileiro,489
"[1932, 2059, 207]",Leis de Newton,490
[208],β - caroteno,491
[],Absorção,492
[208],Solventes,493
[208],Espectrofotometria de absorção UV/VIS,494
[209],Sufactante,495
[209],Concentração micelar crítica,496
[439],Condutividade elétrica,497
[210],Física moderna,498
[210],Novo currículo,499
[211],Espectro de permanganato de potássio,500
[211],Análise da Lei de Beer,501
[211],Curva de calibração,502
[212],Materiais granulares,503
[212],Dinâmica molecular,504
[212],Estado de equilíbrio,505
[213],Física,506
[213],Séries iniciais,507
[213],Projeto de pesquisa,508
[394],Educação ,509
[214],Parâmetros Curriculares Nacionais - PCNs,510
[215],Transição regular-caótica,511
[215],Estádio,512
[215],Método do contorno de paredes,513
"[2056, 764, 216]",Speckle,514
[216],Monitoramento - superfícies orgânicas,515
[216],Luz,516
[217],Ensino auxiliado por computador,517
217,Tecnologia educacional,518
[218],Cristais Líquidos,519
[218],Anisotropia,520
[218],Aplicações tecnológicas,521
219,IHC,522
219,Interface,523
[219],Protótipo,524
[220],Analisador semântico,525
"[1864, 836, 220]",Sistema FALIBRAS,526
220,Lógica Fuzzy,527
[221],Análise qualitativa,528
[221],VANET,529
[221],DDoS,530
[221],Sybil,531
[222],Autômato,532
[222],Controle - exercício físico,533
[223],Árvores de falhas,534
[223],Confiabilidade,535
[223],Redes corporativas,536
[224],Vigilância epidemiológica,537
[224],BLAST,538
[224],Grids computacionais,539
[224],Computação distribuída,540
[225],Análise de textura,541
[225],Registro de imagem,542
[228],Câncer de pulmão,543
[226],Proxy cache,544
234,Computação em nuvem,545
[226],Virtualização - Internet,546
[227],Sistema de comunicação,547
[227],Armazenamento de imagens,548
[227],Auxílio computadorizado,549
[227],Gestão em Saúde,550
[227],Unidade de Emergência do Agreste,551
[228],Nódulo pulmonar,552
[228],Mapa de conexidade Fuzzy,553
[229],Descritores de textura,554
[229],Speckle's,555
229,Computação gráfica,556
[230],Computação paralela,557
[230],Simulação numérica,558
[230],Príons,559
[231],Modelagem de processos de negócios,560
[231],Composição de serviços,561
[231],Ws-BPEL,562
[236],Grafics Processing Units - GPUs,563
[232],Placas gráficas,564
[232],Imagens - otimização,565
[233],Redes convergentes,566
"[2014, 1395, 424]",Modelagem,567
[233],Rede de computadores,568
[234],Paas (Plataforma como serviço),569
[234],Google App Engine (GAE),570
[234],Windows Azure,571
[235],Jogo de xadrez,572
239,Inteligência artificial,573
[236],Linguagem Python,574
[236],Linguagem CUDA,575
[237],Enfisema pulmonar,576
[237],Segmentação de imagem,577
[237],Visualização volumétrica,578
[238],ISA 5.2,579
[238],Programas de computador,580
[239],Sistemas multiagentes - SMA,581
[239],JADE,582
[240],Derivada,583
[240],Integral,584
[240],Curvas algébricas,585
"[1868, 1915, 280]",Resolução de problemas,586
[241],Metodologia do ensino-Matemática,587
[],Ensino-aprendizagem-matemática,588
242,Geometria diferencial,589
[242],Teorema de Gauss-Bonnet,590
[242],Triangulação,591
[243],Polígonos,592
[243],Polígonos regulares,593
[243],Régua,594
[243],Compasso,595
270,Geometria,596
[244],Pitágora,597
244,Álgebra,598
[245],Sequência de ensino,599
[245],Jogos dos discos,600
"[1399, 1239, 245]",Letramento estatístico,601
"[1808, 2062, 1773, 1293, 1302, 1258, 1244, 1516, 1304, 1460, 1376, 1453, 1320, 862, 1172, 697, 1247, 645, 408]",Aprendizagem,602
246,EJA,603
"[1357, 570, 246]",Metodologia,604
246,Modelagem matemática,605
[247],Progressão aritmética,606
247,Função quadrática,607
[247],Polinômio de grau n=2,608
[248],Funções não elementares,609
[248],Integral aproximada,610
[248],Quadratura Gaussiana,611
[249],Aproximação de funções,612
[263],Interpolação linear,613
[249],Interpolação quadrática,614
[263],Interpolação de Lagrange,615
[250],Espaços métricos completos,616
[250],Contração,617
250,Ponto fixo de Banach,618
"[1215, 1250, 251]",Facebook,619
"[1248, 265, 1091]",Estágio supervisionado,620
[252],Princípio da casa dos pombos,621
[],Desiguladade,622
[252],Desigualdade,623
[253],Análise exploratória,624
[253],Energia elétrica,625
[253],Uso racional,626
"[1890, 629, 1220, 270]",Educação matemática,627
[254],Software educativo,628
[254],Winplot,629
"[1851, 2023, 2060, 1479, 1252, 1682, 1215, 1521, 1250, 475]",Ensino-aprendizagem,630
469,Avaliação de aprendizagem,631
[280],Ensino ,632
[256],Polinômio,633
[256],Automorfismo,634
[256],Grupo,635
257,Jogos matemáticos,636
"[1332, 1600, 865, 1025, 257]",Práticas pedagógicas,637
[258],Médias,638
258,Desigualdades,639
[258],Máximos,640
[258],Mínimos,641
[259],Números primos,642
[259],Criptografia RSA,643
[],Conguências,644
[259],Congruências,645
[260],Sistemas de coordenadas,646
[260],Mudanças de coordenadas,647
[261],Triângulo,648
[261],Lei dos cossenos,649
[261],Teorema de Herão,650
"[1842, 2061, 1412, 757, 356]",Ensino de matemática,651
[262],Abordagens metodológicas,652
[263],Interpolação de Newton,653
[263],Polinômio interpolador,654
[264],Teoria de Galois,655
"[1863, 1534, 698, 753, 273]",Matemática,656
[265],Saberes docentes,657
[266],Estatística,658
[266],Homem vitruviano,659
"[1399, 635, 266]",Ambiente computacional,660
[267],Análise combinatória,661
[267],Sequência didática,662
[268],Atividade lúdica,663
[268],Postura professor,664
[269],Reprovação,665
[269],Licenciandos - Matemática,666
"[2023, 697, 1320, 270]",Jogos,667
[271],Reticulados algébricos,668
[271],Homomorfismo canônico,669
[271],Corpos ciclotônicos,670
[272],Desmotivação docente,671
[272],Escolas públicas - Agreste alagoano,672
[272],Valorização profissional,673
[272],Mal estar docente,674
"[785, 1092, 273]",Alunos surdos,675
[273],Estratégias visuais,676
[274],Espaços Hausdorff,677
[274],Espaços compactos,678
[275],Funções implícitas,679
[275],Espaço euclidiano,680
[276],Números de Carmichael,681
[276],Teorema de Korselt,682
[276],Indução matemática,683
[276],Noção científica,684
[277],Demonstrações matemáticas,685
[277],Ensino básico,686
[277],Teoremas,687
[293],Ponto fixo,688
[278],Teorema de Peano,689
279,Equações diferenciais ordinárias,690
[279],Problema de valor inicial,691
[280],Materiais manipuláveis,692
"[1424, 1844, 588, 848, 975, 522]",Planejamento urbano,693
[522],Gestão urbana ,694
[281],Instrumentos de planejamento,695
[282],Quilombo,696
"[1319, 1443, 282]",Cidade,697
[283],Alimentação,698
283,Análise sensorial,699
[283],Qualidade de ovo,700
[285],Trabalho de enfermagem ,701
[285],Gerência de enfermagem,702
"[667, 765, 1262, 286]",Sobrepeso,703
[287],Matemática financeira ,704
287,jogos didáticos ,705
288,Características de carcaça,706
[288],Desempenho zootécnico,707
[289],Máximo divisor comum,708
[289],Mínimo múltiplo comum,709
[289],Números reais comensuráveis,710
[290],Número ,711
[290],Ensino ,712
"[1478, 1553, 290]",Experimentação,713
[290],Simulação,714
363,Saúde indígena ,715
"[543, 453, 436]",Germinação,716
[471],Alelopatia,717
292,Crescimento ,718
[292],Manejo florestal,719
[292],Angico de caroço,720
[293],Teorema da função inversa,721
[293],Teorema da função implicita,722
[293],Demonstração,723
[294],Codorna -Nutrição,724
[],Cotunicultura,725
294,Coturnicultura,726
[294],Mandioca - Subproduto,727
[294],Codornas - Alimentação alternativa,728
[295],Matriz,729
[295],Sudoku,730
[696],Transtornos mentais comuns,731
"[1298, 1370, 1452, 1523, 664, 467]",Etnobotânica,732
[480],Plantas medicinais,733
[297],Quilombolas ,734
[297],"Carrasco (Arapiraca, AL)",735
[373],Formigas,736
[298],Antibiótico,737
[298],Patógeno,738
[299],Geografia urbana,739
"[1813, 1628, 1026, 497]",Espaços públicos,740
[300],Ecodesenvolvimento,741
300,Desenvolvimento sustentável,742
"[1968, 1243, 1638, 320]",Arquitetura,743
[301],Microácaros,744
[384],Ácaros fitófagos,745
"[1617, 584, 419]",Controle químico ,746
[302],Energia - Fontes alternativas,747
[302],Energia solar,748
[302],Força eólica,749
[302],Política energética,750
[304],Milho - Produtividade,751
[304],Modelagem agrometeorológica,752
[303],Artesanato ,753
[303],Emprego,754
303,Renda,755
"[1261, 628, 532]",Produção,756
"[2064, 1325, 305]",Comércio,757
[304],Modelo de zona agroecológica,758
[304],Predição agrícola,759
304,Balanço hídrico,760
[305],Comércio varejista,761
[366],Processo decisório,762
[306],Qualidade,763
"[1615, 1725, 536]",Produtividade,764
"[1744, 688, 575, 306]",Construção civil,765
[306],Qualidade - Indústria,766
[306],Produtividade - Indústria,767
"[1580, 650, 923, 924, 920, 919, 308]",Piscicultura,768
[307],Agrotóxicos - Exposição,769
[307],Agrotóxicos - Intoxicação,770
[932],Baixo São Francisco,771
[308],Desenvolvimento sustentável,772
[307],Fumicultura,773
[307],Biomarcadores,774
308,Baixo São Francisco (AL),775
[],Agroindústria,776
[309],Agroindústria canavieira,777
[309],Custo industrial,778
[309],Contabilidade de custo,779
[309],Administração de empresas,780
[310],Crematório,781
[310],Incineração de  corpos,782
[310],Cremação,783
[310],Maceió (AL),784
[311],Gestão cooperativa,785
329,Cooperativismo,786
[311],Cooperativas,787
[312],Marketing - Administração,788
[312],Estratégias competitivas,789
"[1836, 2070, 863, 351]",Educação de jovens e adultos,790
[313],professor,791
314,Satisfação no trabalho,792
[314],Análise de conglomerados ,793
[314],Análise de Clusters,794
"[1627, 966, 315]",Sistemas de informação,795
[316],Transporte ,796
[316],Faturamento ,797
[316],Empresa de transporte ,798
[316],Transporte coletivo,799
[317],Serviços contábeis,800
"[1299, 639, 418]",Cana-de-açúcar,801
[318],Diagnóstico de doenças,802
[319],Carcinicultura,803
[319],Camarões - Criação,804
320,Bambu,805
[321],Relacionamento médico - enfermeiro,806
[321],Hospital universitário,807
322,Sustentabilidade urbana ,808
[322],Mais - valias fundiárias,809
[486],Habitação popular,810
[323],Programa de Arrendamento Residencial,811
"[970, 1314, 324]",Agricultura orgânica,812
[324],Comercialização agricola,813
[324],Ambiente institucional,814
[325],Capoeira ,815
396,Prática docente,816
[325],Projeto histórico socialista,817
[326],Meio ambiente - Metodologia ,818
[326],Homem,819
[326],Natureza ,820
[327],Trabalho e renda ,821
[327],Qualificação profissional,822
[327],Paradigma educacional,823
[328],Filosofia francesa,824
[328],Mal,825
[328],Consciência,826
[328],Liberdade,827
[328],Razão,828
[328],Providência divina,829
[329],Cooperativas agrícolas,830
[524],Política urbana,831
[330],Ilhéus - História,832
"[1830, 1854, 1166, 1353, 1514, 1554, 1219, 633, 634, 596, 331, 630, 1936]",Ensino de química,833
332,Química orgânica,834
[332],Materiais didáticos,835
[332],Aulas expositivas,836
[332],Visualização tridimensional,837
[333],Cascas de mandioca,838
[345],Resíduos sólidos,839
[333],Macro e micronutrientes,840
[334],Modelos moleculares físicos,841
[334],Modelos moleculares virtuais,842
[334],Estrutura tridimensional de aminoácidos e proteínas,843
[334],Alunos do nível médio,844
"[1318, 1456, 756, 877, 991, 335]",Ensino fundamental,845
